Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71622005498,1.17681E+11,2.61228E+11,2.71089E+11,3.69383E+11,5.05827E+11,4.35481E+11,4.79367E+11,5.2458E+11,4.52696E+11,5.37139E+11,5.04159E+11,,,
Africa Western and Central,AFW,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3374521503,20010727422,57193227496,1.40549E+11,3.44239E+11,3.17673E+11,6.71073E+11,8.01229E+11,1.04247E+12,1.48715E+12,1.42225E+12,1.97541E+12,2.80074E+12,2.86673E+12,3.72221E+12,4.00601E+12,2.90429E+12,2.8981E+12,3.37796E+12,3.99989E+12,5.06062E+12,
Albania,ALB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57427000000,70476869000,84761692000,1.15583E+11,,,,1.51597E+11,1.55211E+11,1.68141E+11,,,,,,,2.99288E+11,3.06648E+11,3.26183E+11,3.40213E+11,3.50633E+11,3.52758E+11,3.70102E+11,3.80815E+11,3.91687E+11,
Andorra,AND,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17521000000,18200000000,19228000000,,,,,,,,,,,,53129057490,58444661620,57465244938,57670465806,56404645750,58559786520,57586165410,61451443059,65383483655,
Argentina,ARG,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7116500000,20270600000,26745800000,33777300000,38360600000,40023900000,41273000000,43970500000,45137600000,47472200000,47839700000,45657900000,61506900000,74570306476,81869697588,,,,,,,,,,1.12507E+12,1.48913E+12,2.15413E+12,2.58857E+12,3.34527E+12,4.75072E+12,
