Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,67.129,67.625,68.065,68.458,68.817,69.165,69.526,69.917,70.345,70.811,71.306,71.815,72.313,72.779,73.204,73.579,73.902,74.183,74.43,74.647,74.839,75.01,75.164,75.305,75.436,75.556,75.663,75.754,75.827,75.886,75.932,75.969,76.002,76.033,76.066,76.1,76.133,76.164,76.192,76.221,76.257,76.307,76.375,76.465,76.575,76.703,76.845,76.992,77.14,77.285,77.425,77.561,77.695,77.83,77.965,78.101,78.237,78.372,78.507,78.641,78.774
Africa Eastern and Southern,AFE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,44.3005706,44.76118003,45.20558466,45.63116151,46.03922085,46.43244751,46.81570577,47.19480813,47.57204288,47.94855294,48.3235266,48.69613114,49.06256841,49.41885657,49.76228497,50.08866411,50.39414955,50.67913456,50.94658651,51.20073484,51.45606889,51.7104809,51.97462957,52.24517213,52.51456645,52.76587379,52.97187852,53.11614739,53.18905981,53.19896406,53.16609762,53.11842808,53.07675846,53.048248,53.02489091,53.00154489,52.98045077,52.97922165,53.01728882,53.11428684,53.29114253,53.56403146,53.94480913,54.43828413,55.04185438,55.75485259,56.57330718,57.47516689,58.42881556,59.40725765,60.37721023,61.31293972,62.1969713,63.01115873,63.74478787,64.38825666,64.93929386,65.41551459,65.83294435,66.20211599,66.5357137
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,33.314,33.84,34.359,34.866,35.364,35.853,36.338,36.823,37.314,37.815,38.327,38.851,39.385,39.931,40.49,41.064,41.656,42.265,42.894,43.541,44.209,44.899,45.607,46.331,47.066,47.807,48.55,49.29,50.023,50.742,51.442,52.119,52.774,53.405,54.012,54.592,55.141,55.663,56.162,56.645,57.12,57.596,58.08,58.578,59.093,59.628,60.183,60.751,61.326,61.898,62.459,63,63.514,63.999,64.453,64.877,65.275,65.656,66.026,66.388,66.744
Africa Western and Central,AFW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,38.42723212,38.8521803,39.2694772,39.6776845,40.07724014,40.47364329,40.87386762,41.28513594,41.71377378,42.16254579,42.63244832,43.12395304,43.63045987,44.14624213,44.66543952,45.18565177,45.70699931,46.22622813,46.73746137,47.23395817,47.70421053,48.13746258,48.52821573,48.87181398,49.16566712,49.41060762,49.61235872,49.77964432,49.92067499,50.040823,50.13549272,50.19749545,50.22361895,50.2164821,50.18561199,50.14181695,50.09864033,50.07299248,50.0832642,50.14548882,50.28114037,50.50741579,50.82487999,51.22673616,51.7051181,52.24412701,52.82269431,53.41751487,54.00589388,54.57453604,55.11618479,55.63294229,56.13592204,56.63160109,57.11689924,57.58768341,58.03710708,58.46194573,58.85923898,59.2310725,59.5793461
Angola,AGO,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,38.763,39.069,39.391,39.727,40.075,40.433,40.801,41.175,41.554,41.934,42.314,42.693,43.073,43.449,43.82,44.181,44.531,44.866,45.183,45.48,45.754,46.005,46.231,46.434,46.612,46.762,46.878,46.962,47.017,47.052,47.07,47.077,47.082,47.101,47.149,47.242,47.391,47.605,47.893,48.265,48.736,49.317,50.005,50.789,51.661,52.614,53.642,54.726,55.839,56.953,58.033,59.052,59.992,60.841,61.591,62.237,62.783,63.252,63.666,64.039,64.383
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,63.247,64.325,65.261,66.017,66.585,66.987,67.273,67.517,67.779,68.084,68.441,68.839,69.247,69.64,70.014,70.369,70.71,71.046,71.384,71.729,72.09,72.479,72.893,73.323,73.754,74.156,74.492,74.744,74.903,74.977,74.991,74.98,74.985,75.039,75.158,75.352,75.618,75.931,76.269,76.616,76.953,77.263,77.538,77.777,77.982,78.165,78.349,78.551,78.781,79.037,79.302,79.554,79.77,79.934,80.045,80.107,80.134,80.148,80.167,80.201,80.256
Andorra,AND,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,47.62956448,48.2203179,48.8110212,49.40685056,50.01012503,50.61656998,51.21704693,51.8046596,52.37723088,52.93968216,53.49916362,54.06677894,54.65247165,55.25995571,55.88788379,56.53851584,57.21332049,57.90904409,58.62414992,59.35995989,60.1138666,60.87800691,61.63853182,62.37963674,63.08398816,63.73544324,64.32577595,64.85919921,65.34236772,65.78197362,66.21882127,66.60742494,66.93926119,67.32333857,67.70610036,68.11539838,68.47837584,68.82107008,69.13759,69.42871691,69.69991335,69.95998526,70.21864631,70.48362282,70.75801293,71.03871062,71.31838561,71.58702422,71.83533611,72.05995757,72.26116104,72.44597347,72.62231606,72.79675686,72.9712271,73.14647941,73.32126024,73.49382808,73.66367514,73.8323145,74.0005213
United Arab Emirates,ARE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,53.973,54.897,55.829,56.771,57.72,58.678,59.641,60.604,61.56,62.498,63.41,64.287,65.126,65.92,66.666,67.362,68.007,68.606,69.165,69.685,70.168,70.614,71.026,71.407,71.76,72.088,72.395,72.682,72.954,73.213,73.461,73.701,73.932,74.155,74.374,74.591,74.812,75.036,75.264,75.496,75.729,75.961,76.187,76.406,76.616,76.818,77.014,77.205,77.394,77.583,77.77,77.957,78.143,78.325,78.504,78.678,78.846,79.008,79.164,79.314,79.458
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,68.154,68.362,68.536,68.685,68.82,68.958,69.111,69.289,69.495,69.733,70,70.291,70.593,70.896,71.196,71.494,71.793,72.097,72.407,72.718,73.023,73.311,73.576,73.816,74.029,74.22,74.397,74.569,74.745,74.928,75.119,75.316,75.515,75.71,75.902,76.09,76.273,76.453,76.631,76.808,76.982,77.155,77.326,77.496,77.664,77.831,77.996,78.16,78.323,78.485,78.646,78.806,78.966,79.124,79.281,79.434,79.583,79.726,79.863,79.995,80.122
