Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,59.19155462,60.49430131,73.64193366,73.23668657,96.26425032,261.6120661,251.8172277,240.506523,224.4838285,222.9475599,273.0463579,250.7019962,161.1290609,196.3642377,272.496034,249.7177771,180.5438849,220.1271421,315.1817498,373.4419942,389.297235,395.1142918,417.7126577,176.0965795,69.39471839,435.2191253,135.5036313,60.70631338,57.69455483,53.58622653,50.54727049,,,,
Africa Eastern and Southern,AFE,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,39.99267979,38.25664233,35.54773412,33.41977864,41.63272725,39.38042847,37.21423403,38.83063331,37.86486801,36.5353949,37.74006971,37.83500941,34.97708994,35.73119498,40.46649901,38.4773395,36.77859108,35.18099583,36.60181465,40.2152195,50.26133699,45.67709115,40.43250284,37.26874407,40.15716352,39.78249785,38.72251527,37.24956564,39.008002,39.03989486,37.29273575,34.45915545,35.18248296,33.40228371,37.60163214,39.08022755,41.56744315,41.78331493,39.92364038,39.81802725,40.48649159,43.60739523,44.70344473,42.35180265,43.79783801,45.64240473,48.50927673,51.19792093,58.52934594,46.68566847,49.11115939,54.11520663,54.3526992,54.48803607,52.25233341,46.98501923,43.54060581,43.36607428,47.05607324,44.42372899,42.24723664
Afghanistan,AFG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,25.47520503,27.69230736,31.82926765,25.9615357,23.49999869,19.37086148,13.92857176,11.47410301,13.54368899,14.76340659,11.43584727,13.16142315,17.92479199,18.17307765,21.94329956,23.957747,21.59999991,21.46726801,21.69696898,24.31082982,41.49134534,45.41811807,,,,,,,,,,,,,,,,,,,,,62.93186179,49.71699175,47.48622604,45.98062038,45.3287985,35.65903732,35.21508091,30.11397795,34.95057282,38.70236574,47.71110024,45.01547547,40.48860161,43.34644198,39.35625212,41.52831531,45.87545083,40.64480449,39.28686642
Africa Western and Central,AFW,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,31.20608821,31.27413948,28.46349769,28.99322056,30.23311726,30.65083573,28.52219797,30.51642926,30.69205776,31.24060443,27.22632079,36.62046807,33.48827476,38.25261765,48.96678269,47.66061854,49.48213277,58.45554594,55.59463696,53.15420429,59.81715103,28.68586822,25.93509535,30.17847735,34.57037454,34.96225657,27.8830376,29.8070775,29.92555687,36.49072091,36.51151615,38.28884402,38.74057461,43.24352325,46.93118574,47.23393587,44.72388079,45.70019105,39.72560339,41.02612426,45.50240152,44.3707258,36.73134225,39.75919897,43.92376243,46.24182702,43.17071774,43.95189377,47.06248348,39.789237,43.32190317,50.39565908,46.20921075,39.75925129,39.12509339,31.53879808,29.86808841,32.24405363,35.69529321,34.32323781,29.86167498
Angola,AGO,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,54.11122636,63.34373769,45.28411037,48.46381114,53.60897918,48.23636289,34.16801536,42.90864338,44.30710524,42.64334876,48.84180557,,,,131.8979502,91.886276,94.79253566,99.402381,86.40431959,134.3423575,120.0595646,108.6943905,79.08099185,84.14218813,81.97587058,87.80414754,77.5853738,88.95381647,95.88585008,90.30089777,80.26539862,78.30597148,74.03974008,69.18154846,60.2214501,46.36570106,40.17746512,40.18544381,55.80088524,54.63490836,52.21325952
Albania,ALB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.08062699,30.71337585,30.07068459,46.38223025,93.68651184,58.54981382,39.55444848,38.28207351,35.7852609,34.75736741,40.61329148,46.41791819,38.84660903,41.66134646,42.40963797,41.20113235,40.55848911,40.71001071,43.27752296,49.35693558,51.25237807,46.86069819,49.88713422,56.86241481,55.56894662,56.81648963,57.8387865,54.61563057,55.40754809,58.08894363,58.02816798,55.92768939,54.24638036
Andorra,AND,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.46139384,49.60804292,50.0918429,53.19679489,54.00339783,53.59635186,
Arab World,ARB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,45.36671915,42.02337429,36.36294611,42.39163478,40.29054395,37.78521699,38.85709057,36.19503044,40.90331296,41.23349116,40.61127978,43.61900914,44.27498568,50.97833094,72.36312067,68.14714391,66.03856032,67.15548637,65.2683988,67.87508096,73.34084543,74.59164,67.66009056,58.36446811,53.91738534,48.14937363,39.4775329,39.62359821,46.66299209,49.35764411,39.33318673,52.80035328,53.85297067,51.36806448,50.1676749,51.74621477,53.89186113,51.84476629,47.15078155,47.10472386,52.80630618,51.62196967,53.50341904,58.06967721,65.24029604,69.48426919,69.77195914,73.4088801,78.35079948,67.85810999,68.97327262,80.51679609,82.97509849,82.14406894,76.95875721,70.53026035,65.97723674,70.56080815,73.76199312,70.07127274,62.78822215
United Arab Emirates,ARE,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,67.57164114,66.99622546,59.06695402,60.97368173,66.0294448,70.45156362,64.91744808,60.52843087,58.85991561,56.05631854,57.45542548,50.26571701,53.8849778,56.68261294,66.57663745,68.52467589,74.06478378,77.74086243,83.80019295,82.92373673,79.31106176,92.28742854,94.5344208,87.77744644,80.7562531,81.31697979,82.95967378,86.33971919,95.86850942,110.3194281,111.805908,110.5923935,127.4650778,139.3265823,142.7437469,138.2185993,151.7024612,164.5145368,165.2859551,153.5609101,157.4528904,157.2930298,152.2947649,153.8192468,157.5468568,151.871395
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,10.52325704,12.83923009,9.712852091,9.497364351,9.48988805,10.55792183,9.596450804,10.19954882,10.97700389,10.8370481,11.07304276,10.45980509,10.44497047,13.17348992,13.58035551,17.28395059,17.6196527,20.95236394,24.11841999,23.60669219,15.37467251,11.86776881,16.04713458,13.80961322,10.43499179,10.96068531,11.4550072,17.98350449,11.62272705,10.67520645,11.84805448,12.63064264,14.44453076,15.92400935,17.48044964,19.40182818,19.3495028,17.2264684,18.11904312,17.44085107,35.44676691,34.01601183,34.62997491,34.73936257,34.70027111,34.94759584,35.25851645,28.36776901,29.50233943,29.87192918,27.09904323,27.24604172,25.48641191,19.67030526,20.40459154,19.51140569,24.24889721,25.27811927,24.97841853
Armenia,ARM,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.70521293,34.12932835,46.38223732,64.35938015,71.76094455,68.61879746,59.30106788,55.9203451,61.5203155,57.44717644,62.78575915,70.03766551,57.98778623,56.64762825,49.76151745,48.01059257,47.0157851,46.61227432,51.76946533,54.02228214,53.12016188,53.56308354,50.99266464,44.76308962,48.0270727,55.81455759,59.19918438,59.87095645,56.18924226
American Samoa,ASM,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.703125,204.389313,203.3398821,176,203.8539554,152.7027027,161.6071429,143.1111111,118.8481675,113.1578947,127.8125,135.8934169,148.8335925,156.6121842,155.4396423,162.0915033,175.743349,165.4320988,153.8787024
Antigua and Barbuda,ATG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,52.90544189,61.44788876,91.67585199,86.73751008,102.1362476,97.34179105,70.82304888,71.98634691,75.95758709,78.15724074,78.89081604,66.97810603,47.40256845,60.06916176,71.62023973,75.50850852,71.93920981,65.48703706,69.11706209,63.59178759,61.26780107,57.84085242,58.99243017,55.54410183,53.34289548,53.90594089,54.53082901,55.55980622,57.57784214,60.29388711,59.95006277,58.97507292,47.62565242,47.61904762,42.72012814,46.25199854,48.41515905,50.49077136,38.52793102,37.51952934,39.16953027,45.14477462,43.79172757,37.65649664
