Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.79692078,96.51616669,97.97286987,100.5206833,99.09117126,97.25244141,95.9417572,97.35636902,102.5597534,94.64913177,96.73602295,95.82353973,97.02787781,111.1597672,,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,8.306420326,9.315270424,10.30276012,10.77583027,10.91069031,11.37271023,12.27649021,13.13156033,13.82176018,,16.76427078,19.32814026,10.59393024,,12.3710804,13.10009956,12.09805012,,13.2018404,12.65581036,10.84996033,15.5900898,,15.42397022,21.44198036,20.82245064,,,,,,12.32462025,,12.54889011,17.5680809,18.61680984,28.25587082,28.49333954,38.19398117,44.42037964,50.5672493,51.75690842,53.61804962,53.57513046,52.582901,51.66994858,51.65594101,53.64319992,55.42520905,,
Africa Western and Central,AFW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,5.767479897,6.34224987,7.056640148,,,,,8.111060143,,10.68393993,13.76513958,9.689319611,8.707209587,10.65703964,8.989850044,10.12963963,9.746310234,8.178429604,9.058750153,8.403450012,8.934370041,10.09932995,,,,,,10.81927967,10.74742985,12.26628017,13.85371971,14.98359013,,,,,,21.28945923,22.69255066,26.25922012,26.48254013,,,,,50.67147827,,,,
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,84.97425842,,86.50982666,88.25524902,90.19371033,91.18641663,87.04559326,82.00112152,82.24952698,85.28296661,88.39248657,87.83217621,88.60356903,88.80329895,90.08174133,90.89363098,77.71475983,70.33512115,68.72905731,68.67848969,67.86755371,69.36618042,71.31360626,71.5446701,71.07807922,72.53716278,72.86855316,75.24343872,74.80220795,77.90939331,79.18955231,82.20059204,84.12509155,85.69499207,88.10388947,89.79815674,92.28983307,96.25608063,97.68486786,97.38848114,95.71499634,95.26589203,95.43232727,95.08659363,94.28032684
Andorra,AND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,15.36828995,14.71605968,13.81630993,17.33540916,25.93453026,34.13827133,,,,,,,49.43996811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,26.07958984,26.23578072,26.68959045,27.65990067,28.63414955,30.19062996,31.92164993,33.94915009,35.9054985,37.47069931,38.71899033,39.6199913,41.2359314,42.45932007,43.87358093,45.48859024,47.50054169,48.75970078,49.29457855,50.04259872,52.89913177,52.97851181,51.76150131,52.43685913,54.45597076,54.44493103,54.39281082,55.75328827,57.20930862,58.74998856,60.05350113,61.5170517,62.59320068,64.30119324,65.96911621,65.82756042,65.49965668,64.36051178,64.7199707,66.29560089,67.28549194,69.58946991,70.49936676,69.19178772,69.7612381,70.5693512,70.79039001,71.27308655,71.77615356,72.44197845,
United Arab Emirates,ARE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,19.33243942,20.2607708,19.43058014,17.11923027,20.25925064,29.18272972,30.66062927,32.23854065,37.28166962,44.66725922,52.5365715,55.81095886,59.12768936,63.55963898,66.25673676,67.41887665,59.95046997,57.76147842,58.35514832,60.82873154,65.48999023,68.19394684,72.10059357,77.72505951,81.7537384,,79.06778717,79.17507935,,,,,,,,,,,,,,,,,,95.34329224,104.9479294,,102.160347,103.3711014
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,44.81985092,45.82767105,47.54899979,49.91176987,52.63312912,54.19427872,55.63600922,55.54570007,55.44947815,55.26866913,56.16939163,57.42667007,59.16987991,59.78237915,65.27954102,70.21240997,70.09198761,69.81562805,70.3232193,,71.48957825,72.31278992,,,69.64543152,,78.87084961,75.34275818,81.25853729,92.60516357,95.93660736,96.84546661,95.89910126,94.96169281,94.50717163,92.76067352,91.81352997,91.91613007,93.23705292,96.61971283,99.50125885,101.5350037,103.4764786,105.0414124,106.0355606,106.9464722,108.4623337,108.7335968,107.6472778,108.2308426,
